ts,wh,
1650823200,2116,2022-04-24 18:00
1650824100,2464,2022-04-24 18:15
1650825000,2534,2022-04-24 18:30
1650825900,2596,2022-04-24 18:45
1650826800,2211,2022-04-24 19:00
1650827700,2064,2022-04-24 19:15
1650828600,2075,2022-04-24 19:30
1650829500,2086,2022-04-24 19:45
1650830400,2226,2022-04-24 20:00
1650831300,2159,2022-04-24 20:15
1650832200,2142,2022-04-24 20:30
1650833100,2266,2022-04-24 20:45
1650834000,2113,2022-04-24 21:00
1650834900,2573,2022-04-24 21:15
1650835800,2264,2022-04-24 21:30
1650836700,2571,2022-04-24 21:45
1650837600,2380,2022-04-24 22:00
1650838500,2280,2022-04-24 22:15
1650839400,2455,2022-04-24 22:30
1650840300,2445,2022-04-24 22:45
1650841200,2712,2022-04-24 23:00
1650842100,2613,2022-04-24 23:15
1650843000,2367,2022-04-24 23:30
1650843900,1692,2022-04-24 23:45
1650844800,1749,2022-04-25 00:00
1650845700,1416,2022-04-25 00:15
1650846600,1289,2022-04-25 00:30
1650847500,1521,2022-04-25 00:45
1650848400,1274,2022-04-25 01:00
1650849300,1475,2022-04-25 01:15
1650850200,1543,2022-04-25 01:30
1650851100,1157,2022-04-25 01:45
1650852000,986,2022-04-25 02:00
1650852900,1233,2022-04-25 02:15
1650853800,1398,2022-04-25 02:30
1650854700,2071,2022-04-25 02:45
1650855600,2421,2022-04-25 03:00
