Begin,End,wh,L1/kwh,L2/kwh
2023-08-05 11:45,2023-08-05 12:00,1569,0.930528999,0
2023-08-05 12:00,2023-08-05 12:15,1463,0,0
2023-08-05 12:15,2023-08-05 12:30,1623,1.565003081,0
2023-08-05 12:30,2023-08-05 12:45,1672,0.43062201,0
2023-08-05 12:45,2023-08-05 13:00,1498,1.214953271,0
2023-08-05 13:00,2023-08-05 13:15,1485,0.976430976,0
2023-08-05 13:15,2023-08-05 13:30,1411,0.772501772,0
2023-08-05 13:30,2023-08-05 13:45,1415,0.508833922,0
2023-08-05 13:45,2023-08-05 14:00,1470,1.727891156,0
2023-08-05 14:00,2023-08-05 14:15,1460,0.5,0
2023-08-05 14:15,2023-08-05 14:30,1409,0.255500355,0
2023-08-05 14:30,2023-08-05 14:45,1372,1.588921283,0
2023-08-05 14:45,2023-08-05 15:00,1346,1.344725111,0
2023-08-05 15:00,2023-08-05 15:15,1425,0.764912281,0
2023-08-05 15:15,2023-08-05 15:30,1379,1.051486584,0
2023-08-05 15:30,2023-08-05 15:45,1397,0.780243379,0
2023-08-05 15:45,2023-08-05 16:00,1400,0.521428571,0
2023-08-05 16:00,2023-08-05 16:15,1425,1.01754386,0
2023-08-05 16:15,2023-08-05 16:30,1436,0.759052925,0
2023-08-05 16:30,2023-08-05 16:45,1356,1.069321534,0
2023-08-05 16:45,2023-08-05 17:00,1176,0.926870748,0
2023-08-05 17:00,2023-08-05 17:15,175,0,0
2023-08-05 19:15,2023-08-05 19:30,450,0,0
2023-08-05 19:30,2023-08-05 19:45,796,0,0
2023-08-05 19:45,2023-08-05 20:00,880,0,0
2023-08-05 20:00,2023-08-05 20:15,929,0,0
2023-08-05 20:15,2023-08-05 20:30,1007,0,0
2023-08-05 20:30,2023-08-05 20:45,993,0,0
2023-08-05 20:45,2023-08-05 21:00,918,1.187363834,0
2023-08-05 21:00,2023-08-05 21:15,921,2.3669924,0
2023-08-05 21:15,2023-08-05 21:30,941,0.765143464,0
2023-08-05 21:30,2023-08-05 21:45,973,1.500513875,0
2023-08-05 21:45,2023-08-05 22:00,965,1.119170984,0
2023-08-05 22:00,2023-08-05 22:15,916,0.796943231,0
2023-08-05 22:15,2023-08-05 22:30,897,2.017837235,0
2023-08-05 22:30,2023-08-05 22:45,967,0.38262668,0
2023-08-05 22:45,2023-08-05 23:00,1163,1.556319862,0
2023-08-05 23:00,2023-08-05 23:15,1139,1.273046532,0
2023-08-05 23:15,2023-08-05 23:30,1129,0.327723649,0
2023-08-05 23:30,2023-08-05 23:45,1136,1.593309859,0
2023-08-06 00:00,2023-08-06 00:15,993,1.097683787,0
2023-08-06 00:15,2023-08-06 00:30,919,1.577801959,0
2023-08-06 00:30,2023-08-06 00:45,924,0.79004329,0
2023-08-06 00:45,2023-08-06 01:00,929,1.560818084,0
2023-08-06 01:00,2023-08-06 01:15,922,0.780911063,0
2023-08-06 01:15,2023-08-06 01:30,953,1.521511018,0
2023-08-06 01:30,2023-08-06 01:45,974,1.119096509,0
2023-08-06 01:45,2023-08-06 02:00,1069,1.019644528,0
2023-08-06 02:00,2023-08-06 02:15,1130,0.96460177,0
2023-08-06 02:15,2023-08-06 02:30,1054,1.375711575,0
2023-08-06 02:30,2023-08-06 02:45,1110,0.981981982,0
2023-08-06 02:45,2023-08-06 03:00,1242,0.289855072,0
2023-08-06 03:00,2023-08-06 03:15,1271,1.14870181,0
2023-08-06 03:15,2023-08-06 03:30,1293,1.121423047,0
2023-08-06 03:30,2023-08-06 03:45,1187,0.918281382,0
2023-08-06 03:45,2023-08-06 04:00,1210,1.198347107,0
2023-08-06 04:00,2023-08-06 04:15,1268,0.283911672,0
2023-08-06 04:15,2023-08-06 04:30,1250,1.448,0
2023-08-06 04:30,2023-08-06 04:45,1175,0.927659574,0
2023-08-06 04:45,2023-08-06 05:00,1002,1.087824351,0
2023-08-06 05:00,2023-08-06 05:15,987,1.469098278,0
2023-08-06 05:15,2023-08-06 05:30,988,0.738866397,0
