key,start,end,epoch,tankl1,tankl2,deltal1,deltal2,hrs1,hrs2,deltahrs1,deltahrs2
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751660,2024-02-01T01:41:00:00,2024-02-01T01:42:00:00,1706751660,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751720,2024-02-01T01:42:00:00,2024-02-01T01:43:00:00,1706751720,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751780,2024-02-01T01:43:00:00,2024-02-01T01:44:00:00,1706751780,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751840,2024-02-01T01:44:00:00,2024-02-01T01:45:00:00,1706751840,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751900,2024-02-01T01:45:00:00,2024-02-01T01:46:00:00,1706751900,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706751960,2024-02-01T01:46:00:00,2024-02-01T01:47:00:00,1706751960,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706752020,2024-02-01T01:47:00:00,2024-02-01T01:48:00:00,1706752020,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706752080,2024-02-01T01:48:00:00,2024-02-01T01:49:00:00,1706752080,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706752140,2024-02-01T01:49:00:00,2024-02-01T01:50:00:00,1706752140,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706752200,2024-02-01T01:50:00:00,2024-02-01T01:51:00:00,1706752200,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706752260,2024-02-01T01:51:00:00,2024-02-01T01:52:00:00,1706752260,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706752320,2024-02-01T01:52:00:00,2024-02-01T01:53:00:00,1706752320,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706752380,2024-02-01T01:53:00:00,2024-02-01T01:54:00:00,1706752380,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
BIOHENRY -UNHCR LAGOS OFFICE DG1 and DG21706752440,2024-02-01T01:54:00:00,2024-02-01T01:55:00:00,1706752440,125.25,23.23,0.00,0.00,2513.12,10239.1,0.00,-0.32
